币种,总收益率,年化收益率,最大回撤,总交易次数,胜率,亏损交易数,小盈利(0-50%),中等盈利(50-200%),大盈利(>200%)
Slapcoin,-45.72%,-69.13%,-79.74%,1,0.00%,1,0,0,0
SLINKY,11.15%,6.87%,-61.61%,4,75.00%,1,3,0,0
SMR,-38.26%,-11.40%,-45.39%,13,46.15%,7,6,0,0
SNAI,247.05%,36.66%,-41.53%,9,77.78%,2,6,1,0
soliloquy,-65.85%,-23.70%,-72.12%,15,33.33%,10,5,0,0
SOURCE,180.81%,29.65%,-48.76%,19,63.16%,7,10,2,0
SP500,0.00%,0.00%,0.00%,0,0.00%,0,0,0,0
SPERG,126.34%,22.78%,-22.17%,21,76.19%,5,16,0,0
SPORE,391.71%,51.06%,-52.26%,12,91.67%,1,11,0,0
SS,298.88%,41.52%,-66.54%,18,72.22%,5,12,1,0
STNK,-31.42%,-9.02%,-53.52%,9,44.44%,5,4,0,0
Stoic,17370.48%,264.96%,-67.33%,14,85.71%,2,8,2,2
SUCHIR,2.33%,0.58%,-76.73%,13,61.54%,5,6,2,0
SVMAI,327.37%,74.56%,-63.62%,8,75.00%,2,5,1,0
swarms,138.87%,24.43%,-45.88%,12,83.33%,2,10,0,0
TANK,249.46%,36.85%,-32.03%,13,76.92%,3,10,0,0
TETSUO,102.71%,19.39%,-27.29%,11,63.64%,4,7,0,0
transmouse,-73.19%,-61.98%,-75.43%,3,0.00%,3,0,0,0
TRENCHES,59.35%,12.42%,-55.51%,17,64.71%,6,11,0,0
TSOTCHKE,298.13%,41.45%,-35.02%,14,64.29%,5,7,2,0
UFD,-15.77%,-4.22%,-51.87%,10,50.00%,5,5,0,0
UPONLY,-66.68%,-24.11%,-75.13%,13,15.38%,11,2,0,0
USACOIN,-71.26%,-26.89%,-84.36%,13,53.85%,6,6,1,0
venti,481.04%,55.60%,-76.33%,18,61.11%,7,9,1,1
vexbolts,-83.92%,-44.72%,-97.59%,6,50.00%,3,1,2,0
VOID,-26.75%,-7.51%,-45.02%,16,56.25%,7,9,0,0
vvaifu,140.10%,24.56%,-15.80%,12,83.33%,2,10,0,0
WARHOL,675.38%,67.30%,-56.37%,17,64.71%,6,7,4,0
waterbear,-22.81%,-6.30%,-60.06%,16,56.25%,7,9,0,0
WORM,144.70%,25.18%,-26.24%,18,77.78%,4,14,0,0
WOULD,125.30%,22.59%,-32.79%,9,77.78%,2,7,0,0
XENO,89.68%,17.45%,-45.65%,14,71.43%,4,9,1,0
X,41.30%,9.06%,-26.16%,13,69.23%,4,9,0,0
YNE,307.11%,42.24%,-31.44%,13,61.54%,5,8,0,0
ZARA,222.66%,34.14%,-36.11%,14,78.57%,3,11,0,0
ZEREBRO,77.31%,15.44%,-14.00%,12,83.33%,2,10,0,0
ZERO,594.72%,148.76%,-77.99%,9,88.89%,1,6,2,0
Zoog,-74.74%,-47.95%,-86.98%,4,25.00%,3,1,0,0
